LOMAKE;K1A1;K1A2;K1A2L;K1A3;K1A3L;K1A4;K1A5;K1A6;K1A8L;K1B;K2A1;K2A2;K2A3;K2A4;K2A5;K2A6;K2A8;K2A9;K3A1;K3A2;K3A3;K3A4;K3A5;K3A6;K3A7;K3A8;K3A9;K3A10;K3A11;K3A12;K3A13;K3A14;K3A15;K4A1L;K4A2L;K4A3L;K4A4L;K3B;T1;T1L;T2;T20L;T21A;T21B;T21C;T21D;T3A;T3B;T3C;T3D;T4A;T4A1;T4A2;T4B1;T4B2;T4C;T4D;T4E;T4F;T4G;T5A;T5B;T5C;T5D;T5E;T5S;T5U;T6;T7;T8;T9A;T9B;T9C;T9D;T9E;T9F;T9G;T9H;T10;T11;T12;T13;T14;T15;JUNA_ASEMA;LAHTOLAITURI;LINJA;LIIKENNEMUOTO;ALUE;SUUNTA;VAUNUTYYPPI;VAUNUNRO;ALUS;TASTE;SAA;PAIVAMAARA;KAUSI;JOKERI;TUTKIJA;KIELI;KOHDE;LIIKENNOITSIJA;PAINO
441243;4;5;;5;;5;5;5;;5;5;5;4;4;5;5;;;;;;;;;;;5;5;1;1;;;;;;;;5;1;;1;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;1964;2;1;;;;;;;;91;;;2;2;2;;;76B;2;91;1;;759;;1;2;1.7.2014 8:35;2;;5838;1;H95;NOF;16.3258124811217
441244;5;4;;3;;3;3;4;;4;4;4;5;5;5;4;;;;;;;;;;;4;3;3;;;;;;;;;4;1;;1;;;;;;1;;;;;;;;;;;;;;1;;;;;;;2;1996;2;1;;;;;;;;91;;;1;1;2;;;76A;2;91;2;;808;;1;2;1.7.2014 8:02;2;;5838;1;H95;NOF;20.1766143600084
441245;3;3;;4;;4;3;4;;4;5;5;4;5;5;3;;;;;;;;;;;4;3;2;1;;;;;;;;4;1;;1;;;;;;1;;;;;;;;;;;;;;1;;;;;;;2;1998;2;;;;1;;;;;91;;;1;2;2;;;76A;2;91;2;;808;;1;2;1.7.2014 7:23;2;;5838;1;H95;NOF;20.1766143600084
441246;4;4;;4;;4;5;5;;4;5;5;5;5;5;4;;;;;;;;;;;5;4;;;;;;;;;;4;2;;2;;;;;;1;;;;;;;;;;;;;;;1;;;;;;1;1983;2;1;;;;;;;;91;;;1;1;2;;;79;2;91;2;;911;;2;2;27.6.2014 6:33;2;;5838;1;H173;NOF;33.5011310634495
441247;4;4;;4;;3;4;4;;4;5;5;5;;5;5;;;;;;;;;;;4;4;2;4;;;;;;;;3;1;;2;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;1966;2;1;;;;;;;;91;;;2;2;2;;;79;2;91;2;;911;;2;2;27.6.2014 6:33;2;;5838;1;H173;NOF;33.5011310634495
441248;3;3;;4;;4;4;4;;4;5;5;4;4;5;4;;;;;;;;;;;3;3;2;2;;;;;;;;3;1;;2;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;1994;1;1;;;;;;;;91;;;1;1;2;;;79;2;91;2;;911;;2;2;27.6.2014 6:33;2;;5838;1;H173;NOF;33.5011310634495
441249;5;4;;3;;5;4;;;5;5;5;5;5;5;5;;;;;;;;;;;4;3;2;2;;;;;;;;4;1;;2;;;;;;1;;;;;;;;;;;;;;1;;;;;;;2;1996;2;;;;1;;;;;92;;;1;2;1;;;79;2;91;2;;449;;1;2;27.6.2014 6:10;2;;5838;1;H173;NOF;33.5011310634495
441250;5;3;;3;;4;3;3;;3;4;4;5;4;4;3;;;;;;;;;;;4;2;2;;;;;;;;;3;1;;1;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;1952;2;;1;;;;;;;92;;;2;1;2;;;79;2;91;2;;449;;1;2;27.6.2014 6:10;2;;5838;1;H173;NOF;33.5011310634495
441251;5;5;;4;;3;4;4;;4;5;5;4;3;4;3;;;;;;;;;;;4;3;3;3;;;;;;;;4;1;;2;;;;;;1;;;;;;;;;;;;;;1;;;;;;;2;1976;2;1;;;;;;;;92;;;2;3;2;;;79;2;91;2;;449;;1;2;27.6.2014 6:10;2;;5838;1;H173;NOF;33.5011310634495
441252;4;5;;3;;5;3;4;;4;4;5;5;5;5;5;;;;;;;;;;;5;4;3;3;;;;;;;;5;1;;1;;;;;;;;1;;;;;;;;;;;;1;;;;;;;1;1943;2;;;;;;1;;;91;;;2;1;2;;;577;2;2010;1;;756;;1;1;26.6.2014 16:52;2;;5838;1;H95;NOF;166.863868381466
441253;4;4;;4;;3;3;5;;4;5;5;2;4;4;4;;;;;;;;;;;5;5;5;4;;;;;;;;4;1;;1;;;;;;;;1;;;;;;;;;;;;1;;;;;;;2;1977;2;1;;;;;;;;91;;;1;1;2;;;577;2;2010;1;;756;;1;1;26.6.2014 16:52;2;;5838;1;H95;NOF;166.863868381466
